date,DEXUSUK
2015-01-02,1.7404
2015-01-05,1.7588
2015-01-06,1.7566
2015-01-07,1.7697
2015-01-08,1.7645
2015-01-09,1.7645
2015-01-12,1.7643
2015-01-13,1.7612
2015-01-14,1.7715
2015-01-16,1.7628
2015-01-19,1.7622
2015-01-20,1.7618
2015-01-21,1.7663
2015-01-22,1.7842
2015-01-23,1.7885
2015-01-26,1.7874
2015-01-27,1.783
2015-01-28,1.7733
2015-01-29,1.7688
2015-01-30,1.782
2015-02-02,1.7781
2015-02-03,1.7807
2015-02-04,1.7626
2015-02-05,1.7462
2015-02-06,1.7444
2015-02-09,1.7405
2015-02-10,1.7411
2015-02-11,1.7454
2015-02-12,1.7438
2015-02-13,1.7343
2015-02-16,1.7401
2015-02-17,1.7354
2015-02-18,1.7403
2015-02-20,1.7447
2015-02-23,1.7425
2015-02-24,1.7522
2015-02-25,1.7448
2015-02-26,1.7409
2015-02-27,1.7539
2015-03-02,1.7473
2015-03-03,1.7493
2015-03-04,1.7531
2015-03-05,1.7492
2015-03-06,1.7362
2015-03-09,1.7359
2015-03-10,1.7366
2015-03-11,1.7256
2015-03-12,1.731
2015-03-13,1.7479
2015-03-16,1.746
2015-03-17,1.7552
2015-03-18,1.7567
2015-03-19,1.7563
2015-03-20,1.7459
2015-03-23,1.7483
2015-03-24,1.7367
2015-03-25,1.7427
2015-03-26,1.747
2015-03-27,1.7497
2015-03-30,1.7356
2015-03-31,1.7448
2015-04-01,1.7393
2015-04-02,1.7389
2015-04-03,1.7559
2015-04-06,1.7497
2015-04-07,1.7504
2015-04-08,1.7407
2015-04-09,1.7405
2015-04-10,1.7467
2015-04-13,1.7508
2015-04-14,1.7529
2015-04-15,1.751
2015-04-16,1.7716
2015-04-17,1.7762
2015-04-20,1.7895
2015-04-21,1.7801
2015-04-22,1.7817
2015-04-23,1.7839
2015-04-24,1.7876
2015-04-27,1.7897
2015-04-28,1.8011
2015-04-29,1.822
2015-04-30,1.8286
2015-05-01,1.8397
2015-05-04,1.8446
2015-05-05,1.8485
2015-05-06,1.8588
2015-05-07,1.8584
2015-05-08,1.8632
2015-05-11,1.8648
2015-05-12,1.8842
2015-05-13,1.8911
2015-05-14,1.8836
2015-05-15,1.8819
2015-05-18,1.882
2015-05-19,1.8878
2015-05-20,1.8755
2015-05-21,1.8861
2015-05-22,1.8809
2015-05-25,1.8678
2015-05-26,1.8719
2015-05-27,1.8566
2015-05-29,1.8825
2015-06-01,1.8732
2015-06-02,1.8686
2015-06-03,1.8817
2015-06-04,1.8786
2015-06-05,1.8608
2015-06-08,1.8585
2015-06-09,1.8425
2015-06-10,1.8426
2015-06-11,1.844
2015-06-12,1.8398
2015-06-15,1.8491
2015-06-16,1.8477
2015-06-17,1.8484
2015-06-18,1.8401
2015-06-19,1.8399
2015-06-22,1.846
2015-06-23,1.8306
2015-06-24,1.8204
2015-06-25,1.819
2015-06-26,1.8237
2015-06-29,1.8159
2015-06-30,1.8108
2015-07-01,1.8491
2015-07-02,1.841
2015-07-06,1.8342
2015-07-07,1.8376
2015-07-08,1.8513
2015-07-09,1.842
2015-07-10,1.8431
2015-07-13,1.8347
2015-07-14,1.8404
2015-07-15,1.8364
2015-07-16,1.8203
2015-07-17,1.8271
2015-07-20,1.8377
2015-07-21,1.8495
2015-07-22,1.8586
2015-07-23,1.8492
2015-07-24,1.8407
2015-07-27,1.8474
2015-07-28,1.8627
2015-07-29,1.8645
2015-07-30,1.8685
2015-07-31,1.8711
2015-08-03,1.8781
2015-08-04,1.8847
2015-08-05,1.9098
2015-08-06,1.9102
2015-08-07,1.9077
2015-08-10,1.9089
2015-08-11,1.8888
2015-08-12,1.8952
2015-08-13,1.8902
2015-08-14,1.8948
2015-08-17,1.8999
2015-08-18,1.894
2015-08-19,1.8808
2015-08-20,1.8968
2015-08-21,1.8881
2015-08-24,1.8929
2015-08-25,1.8884
2015-08-26,1.8884
2015-08-27,1.8968
2015-08-28,1.8914
2015-08-31,1.9042
2015-09-01,1.9024
2015-09-02,1.905
2015-09-04,1.8926
2015-09-07,1.881
2015-09-08,1.8763
2015-09-09,1.8655
2015-09-10,1.863
2015-09-11,1.8747
2015-09-14,1.8767
2015-09-15,1.8886
2015-09-16,1.8783
2015-09-17,1.8773
2015-09-18,1.8828
2015-09-21,1.8894
2015-09-22,1.897
2015-09-23,1.9012
2015-09-24,1.9001
2015-09-25,1.8954
2015-09-28,1.8866
2015-09-29,1.8746
2015-09-30,1.8716
2015-10-01,1.8861
2015-10-02,1.8873
2015-10-05,1.8839
2015-10-06,1.8772
2015-10-07,1.8712
2015-10-09,1.8548
2015-10-12,1.8568
2015-10-13,1.8558
2015-10-14,1.8551
2015-10-15,1.8606
2015-10-16,1.8734
2015-10-19,1.8675
2015-10-20,1.876
2015-10-21,1.8828
2015-10-22,1.871
2015-10-23,1.8745
2015-10-26,1.8772
2015-10-27,1.8876
2015-10-28,1.8968
2015-10-29,1.9025
